27/02/2020;035/E14120/2020-S5;Perbaikan Scroll Vacuum Drum Filter 24S-1A;;;;;;Slowdown capasity unit MDU-I berpotensi Shutdown Unit dan Target RPH dan STS unit MDU tidak terpenuhi
02/03/2020;037/E14120/2020-S5;Penggantian 23LT-008 Assy (level interface Decanter 23V-3);2101048776;;;;;Potensi air masuk ke system recovery Furfural dan Furfural terikut ke water side 23V-3 menyebabkan losses Furfural
01/07/2020;243/E14130/2020-S0;Penggantian Valve Discharge Pompa Clarifier 63-P-502ABC;"2101053543, 2101053544, 2101053545";8201030521;;;;"Berdasarkan kerusakan tersebut dapat menyebabkan terganggunya operational pada saat kejadian emergency dikarenakan operator kesulitan dalam mengoperasikan valve tersebut. Dan selain unsafe condition saat mengoperasikan valve khususnya 63-P-502C, juga dapat kami sampaikan terkait kendala pada saat cleaning strainer karena kondisi valve passing"
06/03/2020;/E14130/2020-S0;Perbaikan Actuator Kompressor 156-K-502B;2101049329;8201027745;;;;"Dengan kerusakan actuator DPA B tersebut menyebabkan tidak ada compressor DPA yang standby, hal tersebut akan mengganggu kehandalan operasi kilang RFCC jika terjadi gangguan pada compressor DPA A yang sedang beroperasi."
27/05/2020;61/E14110/2020-S0;Perbaikan Bearing Motor 11P-4B;2101052196;;;;;"Bila 11P-4A mengalami kegagalan, maka Unit CDU harus Stop"
31/01/2020;053/E14130/2020-S5;Permintaan Kerja urgent perbaikan Fireproofing area 47 Selatan;2101047981;;;;;"Dengan tidak diperbaikinya fireproofing pada support tangki LPG dan Propylene berpotensi menyebabkan kerusakan yang parah jika terjadi kebakaran dan Hal itu terjadi akibat kerusakan konstruksi karena panas yang dapat meruntuhkan pipe support yang menahan beban berat (tangki, perpipaan dan aksesoris lainnya)"
03/07/2020;/E14130/2020-S0;Perbaikan Governor Cooling Water Pump 153-P-501A;2101052309;8201029111;;;;"Dengan hanya dapat dioperasikan 2 unit pompa Cooling Water 153-P-501 B/C dalam memenuhi kebutuhan air pendingin, maka berpotensi menurunkan kehandalan supply cooling water kilang RFCC"
07/02/2020;17/E14110/2019-S0;Perbaikan Motor;2101048281;8201026424;;;;Mengganggu Kehandalan dan Proses Operasi di area Kilang
07/02/2020;18/E14110/2020-S0;Perbaikan Motor;2101048282;8201026424;;;;Mengganggu Kehandalan dan Proses Operasi di area Kilang
30/03/2020;/E14130/2020-S0;Perbaikan Motor Evaporator HVAC 100-BD-602;;;;;;"Apabila Evaporator HVAC 100-BD-602 yang saat ini mengalami kegagalan, maka dapat mengakibatkan overheat pada gedung DCS, SS, dan gedung LK3 dan merusak sistem elektronik di gedung CR"
17/03/2020;99/E14130/2020-S0;Perbaikan MOV Spillback Pompa Propylene 47-MOV-044;2101049738;;;;;Dengan terkendalanya valve 47-MOV-044 berpotensi menyebabkan kerusakan pada pompa offspec propylene 47-P-512 A/B dikarenakan spillback minimum flow tidak tercapai
07/02/2020;/E14110/2019-S0;Perbaikan pompa ;;;;;;Mengganggu kehandalan dan Proses Operasi di area Kilang
